district,school.year,total.revenue,total.revenue.per.pupil,local.revenue.per.pupil,local.percent.total.revenue,state.revenue.per.pupil,state.percent.total.revenue,federal.revenue.per.pupil,federal.percent.total.revenue,other.revenue.per.pupil,other.percent.total.revenue
Taholah School District,2012-13,3691686,17926.03,981.60,5.5,10356.76,57.8,6587.66,36.7,0.00,-
Tahoma School District,2012-13,68366245,9218.95,2528.71,27.4,6246.36,67.8,443.88,4.8,0.00,-
Tekoa School District,2012-13,2919911,15875.12,1928.04,12.1,12884.38,81.2,1062.70,6.7,0.00,-
Tenino School District,2012-13,11888804,10242.79,2795.42,27.3,6606.89,64.5,840.48,8.2,0.00,-
Thorp School District,2012-13,2595116,20901.38,6122.18,29.3,13243.94,63.4,1162.45,5.6,372.82,1.8
Toledo School District,2012-13,7459164,9576.54,1550.70,16.2,7114.35,74.3,910.48,9.5,1.01,0
Tonasket School District,2012-13,10322122,9502.53,1199.72,12.6,6937.19,73,1321.58,13.9,44.05,0.5
Toppenish School District,2012-13,38292511,10089.85,401.66,4,7477.24,74.1,2189.24,21.7,21.70,0.2
Touchet School District,2012-13,3257877,13507.51,3128.40,23.2,9501.58,70.3,877.53,6.5,0.00,-
Toutle Lake School District,2012-13,6023694,10565.29,2090.75,19.8,7623.08,72.2,535.57,5.1,315.89,3
Trout Lake School District,2012-13,2647587,12816.90,2427.55,18.9,9995.21,78,352.75,2.8,41.39,0.3
Tukwila School District,2012-13,31881635,11003.65,3331.02,30.3,6381.60,58,1270.81,11.5,20.22,0.2
Tumwater School District,2012-13,60048037,9216.99,2297.81,24.9,6323.94,68.6,569.35,6.2,25.89,0.3
Union Gap School District,2012-13,6379626,10414.19,1786.29,17.2,7033.54,67.5,1594.35,15.3,0.00,-
University Place School District,2012-13,51004426,9310.61,2321.56,24.9,6348.94,68.2,610.03,6.6,30.08,0.3
Valley School District,2012-13,10765853,11604.01,448.20,3.9,6840.73,59,511.19,4.4,3803.89,32.8
Vancouver School District,2012-13,212395520,9618.88,2125.76,22.1,6513.02,67.7,895.94,9.3,84.16,0.9
Vashon Island School District,2012-13,15303020,10473.92,3231.05,30.8,6081.06,58.1,485.93,4.6,675.88,6.5
Wahkiakum School District,2012-13,4831387,11692.05,2672.26,22.9,8012.70,68.5,952.16,8.1,54.93,0.5
Wahluke School District,2012-13,21545397,10090.43,664.01,6.6,7537.85,74.7,1888.58,18.7,0.00,-
Waitsburg School District,2012-13,3491505,12094.30,1847.82,15.3,9410.57,77.8,791.84,6.5,44.08,0.4
Walla Walla Public Schools,2012-13,61571351,10073.99,1928.95,19.1,6785.08,67.4,1244.11,12.3,115.85,1.2
